Category_____,Maker____________________,Link,Area___________________,Language_______________
App,"<a href=""https://zerowasteapp.io"" target=""_blank"">Zero Waste App</a>","""Your Zero Waste Travel App""",Worldwide,"English, German"
App,"<a href=""http://www.consovrac.com"" target=""_blank"">ConsoVRAC</a>","""Localisateur de magasins #VRAC""",Worldwide,French
List,"<a href=""https://zerocarabistouille.be"" target=""_blank"">Zéro carabistouille!</a>","""<a href=""https://zerocarabistouille.be/2017/01/14/les-magasins-objectif-zero-dechet-vrac/"" target=""_blank"">Les magasins (objectif) zéro déchet et vrac</a>""",Belgium,French
List,"<a href=""https://www.abracada-vrac.com"" target=""_blank"">Abracada'Vrac</a>","""Zéro déchet, localisateur de vrac""",France,French
List,"<a href=""https://foodahoo.com"" target=""_blank"">Foodahoo</a>","""Finde Hersteller von regionalen Lebensmitteln in Deiner Nähe (Wissen, wo's herkommt)"" [app]","Germany, Austria, Switzerland",German
List,"<a href=""https://enorm-magazin.de/"" target=""_blank"">Enorm</a>","""<a href=""https://enorm-magazin.de/unverpackt-laeden-Deutschland"" target=""_blank"">Unverpackt-Läden in Deutschland</a>""",Germany,German
List,"<a href=""https://trashless-society.com/"" target=""_blank"">Trashless Society</a>","""<a href=""https://trashless-society.com/zero-waste-karte-hamburg/"" target=""_blank"">Zero Waste Karten</a>""","Germany
+ Hamburg",German
List,"<a href=""http://www.zerowastefamilie.de"" target=""_blank"">Zero Waste Familie</a>","""<a href=""http://www.zerowastefamilie.de/unverpackt-einkaufen.htm"" target=_blank"">unverpackt einkaufen</a>""","Germany, Austria",German
List,"<a href=""https://utopia.de"" target=""_blank"">Utopia</a>","""<a href=""https://utopia.de/ratgeber/verpackungsfreier-supermarkt/"" target=""_blank"">Verpackungsfreie Supermärkte: Karte und vollständige Liste</a>""","Germany, Austria, Switzerland",German
List,"<a href=""https://www.lifegate.com"" target=""_blank"">Lifegate</a>","""<a href=""https://www.lifegate.com/people/lifestyle/packaging-free-supermarkets-italy"" target=""_blank"">Packaging-free supermarkets in Italy. Here’s where you can find them</a>""",Italy,English
List,"<a href=""https://www.litterless.com"" target=""_blank"">Litterless</a>","""<a href=""https://www.litterless.com/wheretoshop/"" target=""_blank"">Where To Shop</a>""",North America,English
List,"<a href=""https://thezerowaster.com/zero-waste-near-you/"" target=""_blank"">The Zero Waster</a>","""<a href=""https://thezerowaster.com/zero-waste-near-you/"" target=_blank"">Local Plastic-Free/Bulk/Unpackaged/Refill/Zero Waste Shops and Projects UK</a>""",UK,English
List,"<a href=""http://plasticisrubbish.com"" target=""_blank"">Plastic Is Rubbish</a>","""<a href=""http://plasticisrubbish.com/2015/08/16/refill-stores/"" target=""_blank"">Refill/Bulk/Zerowaste Stores</a>""",UK,English
List,"<a href=""https://www.bepakt.com"" target=""_blank"">Bepakt</a>","""<a href=""https://www.bepakt.com"" target=""_blank"">Index of Packaging Free (Zero-Waste) Supermarkets and Grocery Shops</a>"" ",Worldwide,English
Map,"<a href=""http://wastelandrebel.com"" target=_blank"">Wasteland Rebel</a>","""<a href=""http://wastelandrebel.com/de/liste-unverpackt-laeden/"" target=""_blank"">Karte unverpackt einkaufen in Deutschland, Österreich und der Schweiz</a>""","Germany, Austria, Switzerland",German
Map,"<a href=""http://www.bonjouradventure.com"" target=""_blank"">Bonjour Adventure</a>","""<a href=""https://www.google.com/maps/d/viewer?mid=1qPag1AfMQHsYmuHmZM7j1gl3EMc&ll=48.862000655261575%2C2.353543449999961&z=11"" target=""_blank"">Zero Waste Eco-Friendly in Paris, France</a>""",Paris,English
Map,"<a href=""http://vivirsinplastico.com"" target=""_blank"">Vivir sin plástico</a>","<a href=""https://tiendasagranel.com"" target=""_blank"">Tiendas a granel (tiendasagranel.com)</a>",Spain,Spanish
"Map ","<a href=""https://www.kartevonmorgen.org/"" target=""_blank"">Karte von morgen</a>
","<a href=""https://www.kartevonmorgen.org/#/?center=50.969,10.473&zoom=5.74&search=%23unverpackt"" target=""_blank"">Karte von morgen: #unverpackt</a>
",Germany,German
Map,"<a href=""https://www.zeemaps.com/map?group=2435949&location=United+Kingdom&add=1#"" target=""_blank"">ZeeMaps</a>","<a href=""https://www.zeemaps.com/map?group=2435949&location=United+Kingdom&add=1#"" target=""_blank"">Journey to a Zero Waste UK</a>",UK,English
Map,"<a href=""https://zerowastehome.com"" target=""_blank"">Zero Waste Home</a>","""<a href=""https://zerowastehome.com/app/"" target=""_blank"">Search For Bulk Locations</a>""",Worldwide,English
Map,"<a href=""https://zerowastemap.org"" target=""_blank"">Zero Waste Map</a>","<a href=""https://zerowastemap.org"" target=""_blank"">Zero Waste Map</a>",Worldwide,English
Map,"<a href=""http://plasticfreeattempt.tumblr.com"" target=""_blank"">PlasticFreeAttempt</a>","""<a href=""https://www.google.com/maps/d/edit?mid=1QV__XObMKBfkl9QzBKDj9YKPYGs"" target=""_blank"">Package free supermarkets (Google Maps)</a>"" ",Worldwide,English
Map,"<a href=""http://www.zerowastemap.org"" target=""_blank"">Zero Waste Map</a>","<a href=""http://www.zerowastemap.app"" target=""_blank"">zerowastemap.app</a>",x,English
